dataset_id,group,processed_path,raw_source_path,source_url,n_alternatives,n_criteria,criteria_columns,n_classes,class_order,label_source,intended_benchmark_role,structural_truth,notes
mcs_era,monotone_classification,data/processed/monotone_classification/mcs_era.csv,data/raw/ijoc-data/monotone-classification-problems/ERA.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,1000,4,g1;g2;g3;g4,3,Cl1;Cl2;Cl3,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_esl,monotone_classification,data/processed/monotone_classification/mcs_esl.csv,data/raw/ijoc-data/monotone-classification-problems/ESL.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,488,4,g1;g2;g3;g4,5,Cl1;Cl2;Cl3;Cl4;Cl5,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_lev,monotone_classification,data/processed/monotone_classification/mcs_lev.csv,data/raw/ijoc-data/monotone-classification-problems/LEV.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,1000,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_mmg,monotone_classification,data/processed/monotone_classification/mcs_mmg.csv,data/raw/ijoc-data/monotone-classification-problems/MMG.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,830,5,g1;g2;g3;g4;g5,2,Cl1;Cl2,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_mpg,monotone_classification,data/processed/monotone_classification/mcs_mpg.csv,data/raw/ijoc-data/monotone-classification-problems/MPG.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,392,7,g1;g2;g3;g4;g5;g6;g7,3,Cl1;Cl2;Cl3,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
polish_research_units_all,polish_research_units,data/processed/polish_research_units/polish_research_units_all.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,993,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry of Science and Higher Education 2017 evaluation classes.,Real MCDA-like application benchmark with official ordered labels.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized across all 993 units in the processed all-units file.
polish_research_units_hs,polish_research_units,data/processed/polish_research_units/polish_research_units_hs.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,282,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry 2017 evaluation classes for subset HS.,Subset-level application benchmark matching the literature split by research field.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized within this subset in the processed file.
polish_research_units_njn,polish_research_units,data/processed/polish_research_units/polish_research_units_njn.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,108,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry 2017 evaluation classes for subset NJN.,Subset-level application benchmark matching the literature split by research field.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized within this subset in the processed file.
polish_research_units_nz,polish_research_units,data/processed/polish_research_units/polish_research_units_nz.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,218,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry 2017 evaluation classes for subset NZ.,Subset-level application benchmark matching the literature split by research field.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized within this subset in the processed file.
polish_research_units_si,polish_research_units,data/processed/polish_research_units/polish_research_units_si.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,286,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry 2017 evaluation classes for subset SI.,Subset-level application benchmark matching the literature split by research field.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized within this subset in the processed file.
polish_research_units_ta,polish_research_units,data/processed/polish_research_units/polish_research_units_ta.csv,data/raw/ijoc-data/research-unit-evaluation/PLS.csv,https://github.com/ijoc-data/download/tree/master/research-unit-evaluation,99,4,g1;g2;g3;g4,4,Cl1;Cl2;Cl3;Cl4,Polish Ministry 2017 evaluation classes for subset TA.,Subset-level application benchmark matching the literature split by research field.,No structure truth; all four criteria are gain type according to source README.,Criteria are min-max normalized within this subset in the processed file.
qs_2020_top500_common6,qs_university_rankings,data/processed/qs_university_rankings/qs_2020_top500_common6.csv,data/raw/local_qs/大学排名2020.csv,https://www.topuniversities.com/world-university-rankings/methodology,491,6,g1;g2;g3;g4;g5;g6,5,Cl1;Cl2;Cl3;Cl4;Cl5,"QS rank converted into five ordered classes: ranks 1-100 -> Cl5, ..., 401-500 -> Cl1.",Application benchmark using an external ranking signal; not treated as objective ground truth.,No structure truth; QS is an external ranking formula/survey signal.,"Criteria are divided by 100. Criterion order: international_students, international_faculty, faculty_student_ratio, citations_per_faculty, academic_reputation, employer_reputation. Local university names are kept as raw strings because the source CSV appears mojibaked."
qs_2022_top500_common6,qs_university_rankings,data/processed/qs_university_rankings/qs_2022_top500_common6.csv,data/raw/local_qs/大学排名2022.csv,https://www.topuniversities.com/world-university-rankings/methodology,491,6,g1;g2;g3;g4;g5;g6,5,Cl1;Cl2;Cl3;Cl4;Cl5,"QS rank converted into five ordered classes: ranks 1-100 -> Cl5, ..., 401-500 -> Cl1.",Application benchmark using an external ranking signal; not treated as objective ground truth.,No structure truth; QS is an external ranking formula/survey signal.,"Criteria are divided by 100. Criterion order: international_students, international_faculty, faculty_student_ratio, citations_per_faculty, academic_reputation, employer_reputation. Local university names are kept as raw strings because the source CSV appears mojibaked."
qs_2026_top500_all10,qs_university_rankings,data/processed/qs_university_rankings/qs_2026_top500_all10.csv,data/raw/local_qs/大学排名2026多了几个属性.xlsx,https://www.topuniversities.com/world-university-rankings/methodology,495,10,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10,5,Cl1;Cl2;Cl3;Cl4;Cl5,"QS row-order rank converted into five ordered classes: ranks 1-100 -> Cl5, ..., 401-500 -> Cl1.",Application benchmark and potential cross-year generalization check; not treated as objective ground truth.,No structure truth; QS is an external ranking formula/survey signal.,"Uses all ten available criteria in the local 2026 file. Rank is inferred from row order. Criteria are divided by 100. Criterion order: international_students, international_research_network, international_faculty, faculty_student_ratio, citations_per_faculty, academic_reputation, employer_reputation, employment_outcomes, sustainability, international_student_diversity."
qs_2026_top500_common6,qs_university_rankings,data/processed/qs_university_rankings/qs_2026_top500_common6.csv,data/raw/local_qs/大学排名2026多了几个属性.xlsx,https://www.topuniversities.com/world-university-rankings/methodology,496,6,g1;g2;g3;g4;g5;g6,5,Cl1;Cl2;Cl3;Cl4;Cl5,"QS row-order rank converted into five ordered classes: ranks 1-100 -> Cl5, ..., 401-500 -> Cl1.",Application benchmark and potential cross-year generalization check; not treated as objective ground truth.,No structure truth; QS is an external ranking formula/survey signal.,"Uses the six criteria common to the 2020/2022 local files. Rank is inferred from row order. Criteria are divided by 100. Criterion order: international_students, international_faculty, faculty_student_ratio, citations_per_faculty, academic_reputation, employer_reputation."
synthetic_mixed_structure,synthetic_structure_recovery,data/processed/synthetic_structure_recovery/synthetic_mixed_structure.csv,generated,generated by scripts/prepare_bench_data.py,1200,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,Generated from known latent preference score and quantile class thresholds.,Structure-recovery benchmark with known ground-truth preference structure.,"{""interactions"": [{""coefficient"": 0.26, ""criteria"": [""g2"", ""g5""], ""type"": ""positive""}, {""coefficient"": -0.22, ""criteria"": [""g3"", ""g6""], ""type"": ""negative""}], ""marginal_shapes"": {""g1"": ""inverted_u"", ""g2"": ""monotone_increasing_linear"", ""g3"": ""monotone_increasing_linear"", ""g4"": ""monotone_increasing_linear"", ""g5"": ""monotone_increasing_linear"", ""g6"": ""monotone_increasing_linear""}}","All criteria are sampled in [0,1]. Classes are balanced by latent-score quantiles."
synthetic_monotone_additive,synthetic_structure_recovery,data/processed/synthetic_structure_recovery/synthetic_monotone_additive.csv,generated,generated by scripts/prepare_bench_data.py,1200,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,Generated from known latent preference score and quantile class thresholds.,Structure-recovery benchmark with known ground-truth preference structure.,"{""interactions"": [], ""marginal_shapes"": {""g1"": ""monotone_increasing_linear"", ""g2"": ""monotone_increasing_linear"", ""g3"": ""monotone_increasing_linear"", ""g4"": ""monotone_increasing_linear"", ""g5"": ""monotone_increasing_linear"", ""g6"": ""monotone_increasing_linear""}, ""weights"": [0.24, 0.2, 0.18, 0.16, 0.13, 0.09]}","All criteria are sampled in [0,1]. Classes are balanced by latent-score quantiles."
synthetic_nonmonotone_marginals,synthetic_structure_recovery,data/processed/synthetic_structure_recovery/synthetic_nonmonotone_marginals.csv,generated,generated by scripts/prepare_bench_data.py,1200,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,Generated from known latent preference score and quantile class thresholds.,Structure-recovery benchmark with known ground-truth preference structure.,"{""interactions"": [], ""marginal_shapes"": {""g1"": ""inverted_u"", ""g2"": ""u_shaped"", ""g3"": ""monotone_increasing_linear"", ""g4"": ""monotone_increasing_linear"", ""g5"": ""monotone_increasing_linear"", ""g6"": ""monotone_increasing_linear""}}","All criteria are sampled in [0,1]. Classes are balanced by latent-score quantiles."
synthetic_sparse_interactions,synthetic_structure_recovery,data/processed/synthetic_structure_recovery/synthetic_sparse_interactions.csv,generated,generated by scripts/prepare_bench_data.py,1200,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,Generated from known latent preference score and quantile class thresholds.,Structure-recovery benchmark with known ground-truth preference structure.,"{""interactions"": [{""coefficient"": 0.35, ""criteria"": [""g1"", ""g2""], ""type"": ""positive""}, {""coefficient"": -0.28, ""criteria"": [""g3"", ""g4""], ""type"": ""negative""}], ""marginal_shapes"": {""g1"": ""monotone_increasing_linear"", ""g2"": ""monotone_increasing_linear"", ""g3"": ""monotone_increasing_linear"", ""g4"": ""monotone_increasing_linear"", ""g5"": ""monotone_increasing_linear"", ""g6"": ""monotone_increasing_linear""}}","All criteria are sampled in [0,1]. Classes are balanced by latent-score quantiles."
toc_uco_oc03_balancescale,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc03_balancescale.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc03_balanceScale.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,625,4,g1;g2;g3;g4,3,Cl1;Cl2;Cl3,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc03_mammoexp,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc03_mammoexp.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc03_mammoexp.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,412,5,g1;g2;g3;g4;g5,3,Cl1;Cl2;Cl3,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc03_newthyroid,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc03_newthyroid.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc03_newthyroid.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,215,5,g1;g2;g3;g4;g5,3,Cl1;Cl2;Cl3,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc03_tae,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc03_tae.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc03_tae.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,151,54,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21;g22;g23;g24;g25;g26;g27;g28;g29;g30;g31;g32;g33;g34;g35;g36;g37;g38;g39;g40;g41;g42;g43;g44;g45;g46;g47;g48;g49;g50;g51;g52;g53;g54,3,Cl1;Cl2;Cl3,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_car,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_car.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_car.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,1728,21,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_childrenanemia,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_childrenanemia.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_childrenAnemia.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,5855,14,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_gymexercisetracking,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_gymexercisetracking.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_gymExerciseTracking.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,973,17,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_heartdisease,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_heartdisease.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_heartDisease.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,294,13,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_lestsensors,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_lestsensors.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_LESTSensors.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,5112,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_levxsensors,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_levxsensors.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_LEVXSensors.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,5112,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_problematicinternetusage,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_problematicinternetusage.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_problematicInternetUsage.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,2120,32,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21;g22;g23;g24;g25;g26;g27;g28;g29;g30;g31;g32,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
toc_uco_oc04_support,toc_uco_ordinal_classification,data/processed/toc_uco_ordinal_classification/toc_uco_oc04_support.csv,data/raw/toc_uco/TOC-UCO.zip::TOC-UCO/data/oc04_support.csv,https://www.uco.es/grupos/ayrna/materials/tocuco/,730,19,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19,4,Cl1;Cl2;Cl3;Cl4,TOC-UCO original ordinal-classification label y mapped by sorted class order.,Broad tabular ordinal-classification generalization benchmark; used to test whether adaptive structure selection is robust beyond MCDA-specific datasets.,No structure truth; TOC-UCO provides ordinal labels but not preference-structure ground truth.,Only TOC-UCO datasets with is_oc=True are processed. Features are min-max normalized; larger class_index follows the source ordinal order and may not always mean preference desirability.
